"","Media_Lat","Media_Lon"
"1103",33.95793,-118.3757
"1104",37.47612,-122.1293
"1105",33.2858,-111.9585
"1106",NA,NA
"1107",NA,NA
"1108",NA,NA
"1109",NA,NA
"1110",NA,NA
"1111",36.59996,-119.4558
"1112",NA,NA
"1113",NA,NA
"1114",NA,NA
"1115",NA,NA
"1116",NA,NA
"1117",NA,NA
"1118",NA,NA
"1119",NA,NA
"1120",NA,NA
"1121",NA,NA
"1122",NA,NA
"1123",33.99402,-118.2145
"1124",34.13133,-114.2728
"1125",NA,NA
"1126",NA,NA
"1127",NA,NA
"1128",33.40732,-112.0985
"1129",NA,NA
"1130",NA,NA
"1131",32.54399,-114.6187
"1132",NA,NA
"1133",NA,NA
"1134",NA,NA
"1135",33.91829,-118.2734
"1136",NA,NA
"1137",NA,NA
"1138",NA,NA
"1139",NA,NA
"1140",NA,NA
"1141",34.81844,-118.7497
"1142",NA,NA
"1143",NA,NA
"1144",NA,NA
"1145",NA,NA
"1146",NA,NA
"1147",33.71281,-112.0747
"1148",36.76775,-116.6919
"1149",NA,NA
"1150",31.55302,-110.3081
"1151",NA,NA
"1152",33.44626,-112.1852
"1153",34.12051,-117.9368
"1154",37.94919,-122.3638
"1155",32.338,-111.074
"1156",NA,NA
"1157",NA,NA
"1158",NA,NA
"1159",33.4218,-112.1
"1160",33.6908,-112.106
"1161",NA,NA
"1162",NA,NA
"1163",NA,NA
"1164",37.96645,-122.3918
"1165",NA,NA
"1166",NA,NA
"1167",NA,NA
"1168",NA,NA
"1169",NA,NA
"1170",35.20038,-119.5583
"1171",33.51518,-112.1676
"1172",39.60899,-119.208
"1173",33.42416,-111.9903
"1174",NA,NA
"1175",47.63353,-122.3795
"1176",47.55334,-122.3229
"1177",47.42073,-122.2381
"1178",47.27089,-122.3944
"1179",45.57124,-122.3369
"1180",46.58495,-120.4962
"1181",NA,NA
"1182",NA,NA
"1183",NA,NA
"1184",45.60361,-120.2896
"1185",NA,NA
"1186",NA,NA
"1187",NA,NA
"1188",NA,NA
"1189",NA,NA
"1190",NA,NA
"1191",46.02194,-122.8561
"1192",NA,NA
"1193",47.59033,-122.3225
"1194",47.27026,-122.3934
"1195",NA,NA
"1196",NA,NA
"1197",NA,NA
"1198",NA,NA
"1199",NA,NA
"1200",NA,NA
"1201",NA,NA
"1202",NA,NA
"1203",NA,NA
"1204",NA,NA
"1205",46.11526,-122.9387
"1206",NA,NA
"1207",NA,NA
"1208",NA,NA
"1209",NA,NA
"1210",NA,NA
"1211",NA,NA
"1212",NA,NA
"1213",NA,NA
"1214",NA,NA
"1215",NA,NA
"1216",NA,NA
"1217",47.33578,-122.2266
"1218",NA,NA
"1219",NA,NA
"1220",NA,NA
"1221",NA,NA
"1222",NA,NA
"1223",47.41203,-122.2307
"1224",NA,NA
"1225",46.27727,-119.2752
"1226",43.05096,-116.2565
"1227",NA,NA
"1228",NA,NA
"1229",NA,NA
"1230",NA,NA
"1231",NA,NA
"1232",NA,NA
"1233",NA,NA
"1234",NA,NA
"1235",NA,NA
