"","LRT_Lat","LRT_Lon"
"428",28.4781,-81.207383
"429",27.339262,-80.693987
"430",26.577887,-80.750008
"431",30.405556,-81.7625
"432",33.54813,-81.670067
"433",33.86588,-81.03578
"434",28.198024,-82.578277
"435",28.369724,-82.560119
"436",35.084324,-90.036556
"437",29.719008,-82.351677
"438",30.797723,-83.278556
"439",32.375361,-88.610222
"440",33.708439,-87.066666
"441",33.691667,-80.523611
"442",38.690556,-85.140556
"443",33.499419,-86.845259
"444",37.463436,-82.52856
"445",27.36427,-82.529559
"446",34.871731,-81.976017
"447",NA,NA
"448",30.179155,-81.714196
"449",30.399251,-84.328065
"450",NA,NA
"451",28.394748,-80.829327
"452",33.97194,-81.19889
"453",27.926631,-82.395356
"454",26.540209,-80.080951
"455",28.806957,-81.317231
"456",25.860432,-80.340403
"457",38.433333,-85.2375
"458",33.819977,-78.969704
"459",34.183678,-80.289413
"460",33.016174,-79.928609
"461",34.682313,-86.598882
"462",30.261431,-81.608221
"463",36.895833,-86.902222
"464",30.926682,-85.426059
"465",27.438245,-80.471905
"466",27.89024,-82.71372
"467",28.639017,-81.516045
"468",36.0661,-79.348716
"469",35.08556,-90.115641
"470",27.956745,-82.375179
"471",27.924553,-82.439439
"472",NA,NA
"473",37.389491,-86.869159
"474",36.015879,-84.240143
"475",35.276264,-89.940628
"476",27.957424,-82.398336
"477",28.416251,-81.38885
"478",NA,NA
"479",35.98444,-84.26139
"480",33.50648,-86.811239
"481",29.6469,-82.3483
"482",30.708196,-88.099338
"483",35.01413,-81.87556
"484",30.378409,-84.271613
"485",33.608429,-84.321239
"486",36.13245,-78.72987
"487",35.536421,-87.206238
"488",33.468226,-81.94211
"489",NA,NA
"490",38.13699,-85.72056
"491",34.227355,-80.640402
"492",26.287222,-80.159722
"493",26.068889,-80.203611
"494",NA,NA
"495",34.637778,-82.527778
"496",44.983208,-93.277663
"497",41.046484,-85.058272
"498",42.364136,-82.965212
"499",41.157258,-81.565423
"500",NA,NA
"501",40.710183,-81.270076
"502",42.264135,-83.472234
"503",42.396568,-83.557503
"504",46.760411,-92.105994
"505",43.151996,-87.98333
"506",41.779462,-87.856857
"507",41.593056,-87.313056
"508",39.364265,-84.168915
"509",39.30598,-84.42377
"510",38.487877,-90.032127
"511",41.29948,-82.16559
"512",45.6907,-91.8379
"513",38.0369,-87.5949
"514",42.149868,-89.07701
"515",44.68211,-91.13635
"516",41.478528,-81.707166
"517",40.100037,-87.60002
"518",39.01523,-90.13846
"519",41.356743,-81.467476
"520",40.723,-86.3461
"521",42.356606,-85.004899
"522",42.356,-85.0111
"523",41.00763,-80.52927
"524",41.656434,-87.71425
"525",41.45083,-81.68445
"526",NA,NA
"527",41.923542,-87.669955
"528",41.6425,-87.5702
"529",42.9108,-83.7269
"530",42.6812,-85.298
"531",44.850833,-84.682741
"532",41.073259,-81.533066
"533",42.160554,-83.21257
"534",41.704681,-83.508224
"535",41.48181,-81.671596
"536",42.341064,-89.359311
"537",41.868566,-80.799807
"538",41.682606,-87.576276
"539",39.742974,-84.292115
"540",41.872031,-87.888061
"541",42.290718,-84.386124
"542",44.9844,-93.2787
"543",39.7337,-86.1888
"544",40.813282,-82.860893
"545",44.733485,-93.207888
"546",41.898207,-88.682515
"547",42.443236,-85.633076
"548",40.101389,-87.733333
"549",41.734402,-88.077698
"550",45.847944,-93.350833
"551",40.814629,-80.522858
"552",44.780281,-93.306721
"553",41.590415,-87.644746
"554",40.775075,-81.370344
"555",NA,NA
"556",45.172,-93.5267
"557",41.384731,-88.395867
"558",39.164713,-84.519617
"559",41.667479,-83.468294
"560",42.366697,-83.048061
"561",42.266338,-83.396303
"562",41.438052,-90.67954
"563",41.60584,-83.512343
"564",39.29945,-84.68833
"565",42.289747,-83.206744
"566",41.772284,-86.653986
"567",41.484961,-81.67364
"568",41.294117,-84.31722
"569",42.791391,-84.69001
"570",45.296848,-93.558165
"571",41.479378,-81.700423
"572",41.468406,-81.636544
"573",44.1912,-86.2645
"574",NA,NA
"575",41.683621,-87.990659
"576",39.748,-86.2997
"577",40.631622,-80.54632
"578",39.79068,-88.003237
"579",42.217853,-89.087542
"580",41.029742,-87.86594
"581",42.713082,-87.870441
"582",39.140988,-84.541511
"583",NA,NA
"584",45.072443,-83.404362
"585",41.1809,-84.6048
"586",40.40833,-83.725
"587",NA,NA
"588",42.105946,-87.813985
"589",41.670571,-88.053461
"590",41.341333,-88.898045
"591",41.476811,-88.126059
"592",40.735614,-84.088
"593",42.65278,-83.07361
"594",41.673995,-87.573845
"595",41.856237,-87.992503
"596",43.03923,-89.40732
"597",41.506176,-82.933826
"598",39.268389,-82.853417
"599",44.982887,-93.248024
"600",39.107417,-84.545609
"601",42.219851,-83.524757
"602",38.422889,-85.657389
"603",44.780102,-93.307503
"604",39.205861,-84.811083
"605",44.9711,-93.37355
"606",41.031149,-85.219247
"607",44.888922,-93.009252
"608",40.925949,-87.349554
"609",42.284826,-87.871262
"610",42.383463,-83.180399
"611",44.847907,-93.284777
"612",41.51972,-83.03866
"613",43.015833,-84.180556
"614",40.723087,-89.6549
"615",46.5974,-95.5667
"616",42.3622,-82.9639
"617",44.778985,-93.061087
"618",47.582432,-95.760922
"619",40.999581,-81.616821
"620",NA,NA
"621",39.7729,-84.152838
"622",41.372168,-81.533914
"623",41.60994,-87.480026
"624",NA,NA
"625",41.650334,-87.701549
"626",41.324167,-82.034722
"627",45.270539,-93.535691
"628",39.27895,-84.59246
"629",41.6445,-87.6062
"630",39.86227,-89.6043
"631",42.2657,-83.4613
"632",38.771194,-87.328222
"633",41.096857,-81.440963
"634",42.118941,-87.900752
"635",41.871858,-88.287698
"636",40.88183,-82.673395
"637",NA,NA
"638",45.018063,-93.202135
"639",39.314,-87.3443
"640",39.167204,-84.512188
"641",44.52652,-89.56623
"642",45.70909,-87.304822
"643",41.220676,-80.805702
"644",39.72647,-86.2576
"645",41.377778,-89.991667
"646",43.6003,-84.2234
"647",39.713065,-82.543882
"648",41.63454,-87.461596
"649",44.71943,-93.07281
"650",40.709028,-89.613103
"651",39.01333,-82.99805
"652",NA,NA
"653",41.334236,-89.791502
"654",42.393,-83.0326
"655",43.95997,-88.906399
"656",38.594521,-90.185511
"657",39.683908,-84.275633
"658",43.188056,-88.064722
"659",43.370445,-87.887944
"660",NA,NA
"661",41.37075,-82.955888
"662",42.8467,-88.0623
"663",43.19443,-88.07221
"664",44.815907,-94.248837
"665",39.91139,-82.25278
"666",45.45136,-91.36207
"667",41.822565,-87.751519
"668",40.675359,-89.505043
"669",42.371263,-83.05323
"670",42.984957,-83.986772
"671",41.9151,-85.69236
"672",42.78049,-85.920782
"673",43.366667,-82.766667
"674",42.7244,-83.2494
"675",42.274021,-83.430817
"676",42.351621,-88.267387
"677",42.119217,-87.898982
"678",41.831457,-87.718129
"679",42.1966,-83.4863
"680",42.707222,-83.247778
"681",42.159504,-89.055266
"682",41.5149,-87.193
"683",42.15958,-89.061534
